"Billing country","Shipping region","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Taxes","Total sales","Cost of goods sold"
"Canada","Ontario",6338,1264792.4,-21416.9,-261859.67,981515.83,6540,128219.9,1119325.64,409161.44
,,3100,857431.89,-5878.56,-64902.1,786651.23,0,102095.74,888746.97,327233.21
"Canada","British Columbia",1342,294181.7,-8538.6,-57457.1,228186,1215,11646.51,241962.82,97759.41
"Canada","Alberta",925,207415.22,-3380.4,-31296.79,172738.03,885,8712.45,183052.67,72356.23
"Canada","Quebec",603,121310.02,-952.9,-21008.92,99348.2,645,5020.42,105447.71,41161.93
,"Ontario",336,103632.28,-1125.85,-19703.5,82802.93,150,10765.53,93729.47,35120.99
"Canada","Nova Scotia",429,91160.2,-511.9,-16579.69,74068.61,360,10431.71,85079.88,30806.12
"Canada",,795,87325.69,-2025.15,-27974.86,57325.68,15,7335.65,64676.33,21989.89
"Canada","Manitoba",272,51207.18,-816.7,-5653.18,44737.3,345,2252.29,47539.1,18435.43
"Canada","Saskatchewan",248,48648.78,-133.4,-9565.86,38949.52,270,1971.1,41452.87,16101.46
"Canada","New Brunswick",187,36102.32,-140.9,-7134.72,28826.7,240,4350.9,33505.84,11677.44
"Canada","Prince Edward Island",95,18018.5,-286,-1411.54,16320.96,165,2470.18,18999.6,6807.1
"Canada","Newfoundland and Labrador",65,16728,0,-3693.84,13034.16,15,1950.65,15024.67,5088.78
"United States","Texas",9,7363.22,-366.26,-727.32,6269.64,3988.6,0,10258.24,2032.58
,"New Brunswick",3,6234.9,0,0,6234.9,0,897.04,7131.94,2632.24
"Canada","Yukon",15,6779.24,-16,0,6763.24,0,338.17,7101.41,2851.97
"United States","Maryland",9,4951.06,-1157.9,-858.25,2934.91,2716.71,190.08,5841.7,1382.41
,"Quebec",20,5749.9,0,-555,5194.9,0,420.38,5615.28,2209.93
,"Alberta",14,5957,0,-700,5257,0,284.29,5541.29,2117.45
"United States","Maine",14,3279.24,-366.99,0,2912.25,1956.64,141.76,5010.65,1037.19
"United States","North Carolina",12,4180.93,-444.67,-1265.29,2470.97,2106.29,322.81,4900.07,859.67
,"Newfoundland and Labrador",3,3767,0,0,3767,30,503.21,4300.21,1551.77
"United States","New York",17,4595.38,-1091.92,-1409.29,2094.17,2156.79,0,4250.96,1037.09
"New Zealand","Tasman",8,2674,0,0,2674,400,0,3074,1102.55
"United States","Colorado",9,1921.43,-123.34,0,1798.09,1070.02,0,2868.11,546.72
"Australia","South Australia",10,2281.8,0,-69.3,2212.5,500,0,2712.5,815.35
"United States","California",8,2596.38,-256.71,-764.9,1574.77,1087.66,0,2662.43,610.51
,"Queensland",1,3050.9,0,-722,2328.9,0,302.76,2631.66,932
"United States","West Virginia",6,1532.7,-47.55,-22.32,1462.83,995.21,148.84,2606.88,484.93
"United States","Virginia",6,1923.81,-404.53,-77.04,1442.24,939.83,89.01,2471.08,652.44
"United States","Alabama",7,2577.54,-297.63,-1167.64,1112.27,1277.37,0,2389.64,508.81
"United States","Louisiana",5,2172.69,0,-908.48,1264.21,937.27,0,2201.48,373.56
"United States","Missouri",6,1902.35,-188.86,-340.45,1373.04,748.8,0,2121.84,563.22
"United States","Georgia",8,1903.19,-232.4,-760.56,910.23,1196.35,0,2106.58,358.8
"United States","South Carolina",3,1309.98,0,0,1309.98,728.75,0,2038.73,445
"United States","Ontario",9,2203.4,-12.4,-483,1708,0,222.04,1930.04,704.81
,"Manitoba",7,3972.64,0,-2208,1764.64,0,132.71,1897.35,699.47
,"British Columbia",12,1714.24,0,0,1714.24,45,98.29,1857.53,737.22
"United States","Arizona",4,1223.17,-128.83,0,1094.34,684.43,0,1778.77,387.5
"United States",,32,1499,-23.25,-29,1446.75,100,139.34,1686.09,268.11
"United States","Minnesota",7,1872.3,-98.85,-1136.89,636.56,1034.06,0,1670.62,280.06
"United States","Indiana",4,1295.63,-286.18,-123.93,885.52,711.97,0,1597.49,464.95
"United States","New Jersey",6,1021.6,-90.93,-53.28,877.39,636.36,0,1513.75,301.3
"United States","Michigan",4,1191.28,-274.37,-75.16,841.75,494.89,55.04,1391.68,427.9
"United States","Oregon",1,990.49,0,-339.87,650.62,629.07,0,1279.69,171
,"Saskatchewan",4,1168.9,0,0,1168.9,0,58.45,1227.35,478.01
"Switzerland",,2,1016.4,0,0,1016.4,88.75,93.58,1198.73,427.75
"United States","Illinois",8,1235.98,-61.9,-933.35,240.73,561.85,91.55,894.13,95.85
"United Kingdom","England",5,514,-16.1,0,497.9,250,0,747.9,207.5
"United States","Ohio",2,533.53,0,-189.85,343.68,324.25,61.68,729.61,155
"United States","New Mexico",2,571.39,0,0,571.39,140.16,0,711.55,191.4
"New Zealand","Auckland",1,610,0,0,610,50,0,660,228.6
"Canada","Northwest Territories",2,631.4,-12.5,0,618.9,0,30.95,649.85,255.79
"Australia","Queensland",2,477.9,0,0,477.9,100,0,577.9,211.46
"Canada","Pennsylvania",1,278.39,0,0,278.39,192.64,0,471.03,102
"United States","Kentucky",2,346.98,0,0,346.98,117.74,0,464.72,116
"United States","Oklahoma",1,387.45,-135.61,-99.42,152.42,294.47,0,446.89,111
,"Nova Scotia",2,358,0,0,358,0,49.02,407.02,138.18
"United States","Nebraska",2,1288.44,0,-1058.39,230.05,153.17,21.08,404.3,65.18
"United Kingdom","Northern Ireland",2,274.6,0,0,274.6,100,0,374.6,122.7
"United States","New Hampshire",1,298.7,-104.54,-76.64,117.52,229.34,0,346.86,83
"United States","Tennessee",1,209.68,0,0,209.68,131.51,0,341.19,81.74
"Turks and Caicos Islands","Ontario",1,236,0,0,236,0,30.68,266.68,90.79
"United States","Alberta",2,250,0,0,250,0,12.5,262.5,97.2
"United States","Alaska",2,784.27,-222.37,-412.98,148.92,107.39,0,256.31,41
"Aruba",,1,172,0,0,172,50,8,242.24,12
"United States","Iowa",1,158.77,-55.57,0,103.2,88.87,0,192.07,55.5
"United States","British Columbia",1,149.94,0,0,149.94,0,7.5,157.44,71.1
"Canada","Florida",1,164.43,-57.55,-14.57,92.31,60.29,0,152.6,67
"United States","Idaho",1,73.33,0,0,73.33,77.47,0,150.8,22
"United States","Massachusetts",1,82.93,0,0,82.93,66,0,148.93,25
"United States","Newfoundland and Labrador",1,140,-14,0,126,0,18.9,144.9,57.29
"United States","Pennsylvania",4,639.49,0,-732.85,-93.36,147.04,0,53.68,-18.85
"Australia",,1,15,0,0,15,0,0,15,0
"Canada","New York",1,121.79,-121.79,0,0,0,0,0,0
"United Kingdom","Alberta",1,197,0,-197,0,0,0,0,0
"United States","District of Columbia",2,400.19,-400.19,0,0,0,0,0,0
"United States","Montana",1,187.42,0,-187.42,0,0,0,0,0
"United States","Quebec",0,0,0,-89,-89,0,-4.45,-93.45,-35.6
"United States","Washington",4,1001.61,-264.2,-1375.11,-637.7,537.65,0,-100.05,-5.57
"United States","Florida",11,1591.81,-174.05,-2251.08,-833.32,710.25,0,-123.07,-151.26
"United States","Utah",0,0,0,-176.56,-176.56,0,0,-176.56,-49
"United States","Vermont",2,475.22,-46.06,-1518.69,-1089.53,195.88,0,-893.65,-246.76
